Reviews,Ratings,Orig_Reviews,no_of_characters,no_of_words,avd_Word_Length,Polarity,Subjectivity
product decent price that s alone determine quality week since delivery do not send anyone installation make numerous call complaint request assure multiple time engineer would come never come I ve always wary samsung product last straw try avoid buy samsung product unless there s well alternative keep star see prolong usage product absolutely do not recommend buy samsung,1,"Product is decent for the price. But that's not alone what determines the quality. After a week since delivery, they didn't send anyone for installation and I had to do it myself. After making numerous calls and complaint requests, I was assured multiple times an engineer would come but never came. I've always been wary of Samsung products but this was the last straw. From now on I will try to avoid buying any Samsung product unless there's no better alternative. I will keep a 3 star for now until I see prolonged usage of this product. I absolutely don't recommend buying Samsung.",570,102,4.588235294117647,-0.10476190476190475,0.4333333333333333
perfectly work,3,Perfectly working..,17,2,8.0,1.0,1.0
write review week usage pro conssamsung great brand improve timesuper quick delivery installation remind cust care get do ease use similar old samsung kgsquick wash use less water old samsung kgsexchange offer rs amazon dealer provide rs exchange offerawesome product money pay conssamsung kg buy year back big present kgs slightly shake clothe less believe normal washing machinehence rating star,5,I am writing this review after a week or so of usage. some pros and consSamsung is a great brand and has been improving all the timeSuper quick delivery and installation ( just had to remind Cust Care to get it done !)Ease of Use and similar to the old Samsung 6.2 kgsQuick wash and uses lesser water than the older Samsung 6.2 KgsExchange offer of Rs 1800 ! through Amazon / dealer provides only Rs 500 ! Exchange offerAwesome product for the money paid !!!ConsSamsung 6.2 kgs bought about 10 years back is bigger than the present 6.5 kgs !Slightly shakes when the clothes are less which i believe is normal for any washing MachineHence the rating of 4 star !,626,109,4.63302752293578,0.08194444444444444,0.25833333333333336
buy model find serious bug manufacturer need look fix machine drain last use water rinse select function washrinse rinse water use last rinse remain tub drain mention clear explain experience turn machine manually select wash rinse function skip spin prefer get clothe dry direct sunlight cycle select soaknormal machine start washing move next stage rinse whole process got complete hour machine automatically turn water use last rinse still remain tub way drain last use water short opt spin function last intake water remain wash tub even completion whole process fix,1,I bought this model and found that there is serious bug which the manufacturer needs to look into and have to fix. This machine will not drain the last used water for rinse if you select the function Wash+Rinse or Rinse only. The water used for the last rinse will remain in the tub and it cannot be drained. For to whom the mentioned is not clear I will explain my experience. I turned on the machine and manually selected Wash and Rinse function and skipped Spin because I preferred to get the clothes dried on direct sunlight. The cycle selected in Soak+Normal. The machine started washing then moved to the next stage which is rinsing. The whole process got completed in an hour and machine automatically turned off but the water used for last rinse still remains in the tub. There is no way to drain the last used water. In short if you do not opt for Spin function then the last intake water will remain in the wash tub even after completion of whole process. Is there any fix for this?,979,184,4.326086956521739,0.021428571428571436,0.2773809523809524
video player loadingplay videoplaymutecurrent timedurationloade stream typeliveseek live currently behind liveliveremaine timexplayback ratechapterschaptersdescriptionsdescription selectedcaptionscaption selectedaudio trackdefault selectedfullscreenthis modal windowstarte make noise th day delivery call installation person response call customer care hear flute music minute log ticket samsung closing ticket automatically say check coin pocket dress wash inside machine bad customer service really want get busy samsung customer care buy product,1,"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:15Loaded: 0.00%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:15 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


 Started making noise from the 11th day of delivery.. Called Installation person, No response... Called Customer care, heard only flute music for 45 minutes.. Logged 2 tickets, Samsung closing the tickets automatically saying, check for coins in pockets of dresses which is washing inside the machine... Worst Customer Service.. If you really want to get yourself busy with samsung customer care, buy this product..",680,86,6.895348837209302,-0.1327272727272727,0.47333333333333333
delivery person careless hurry firstly fall shoe rack scatter shoe outside gate treat old machinewhich exchange mercilessly fearful noise also scatter water floor give sufficient time extract water outlet pipe felling outlet hose return lot mess clean put shoesmoppe large floor area etc,4,Delivery persons were too CARELESS and in hurry. They firstly fell shoe racks and scattered all shoes at outside of my gate. They treat my old machine(which was exchanged) mercilessly with fearful noise also scattering water to my floor by not giving sufficient time to extract the water from outlet pipe and felling outlet hose.  After their return I have a lot of mess to clean. Putting all the shoes/mopping a large floor area etc.,426,75,4.68,-0.08050595238095239,0.4733630952380952
pathetic website never buy appliance website do not even contact brand neither schedule appointment installation well buy product local dealer day installation pathetic website even month install product,1,"This is the most pathetic website, never buy any appliances from this website, they don;t even contact to brand neither they will schedule your appointment for installation. Better to buy product from local dealer for same day installations. This pathetic website even after 1 month they will not install the product.",310,50,5.2,-0.6666666666666666,0.6666666666666666
exchange work state policy say washing machine working condition upon delivery new product refuse accept old product say make noise felt cheat late difficulty accommodate machine home time get someone else take awayif plan exchange well go online purchase else mercy person come collect itthe installation happen week product delivery several reminder call mademachine work well,1,"The exchange did not work as it was stated. Policy said washing machine should be in working condition. But upon delivery of new product they refused to accept old product saying it was making noise. Felt cheated, but it was too late. Had difficulty in accommodating 2 machines at home until the time I got someone else to take it away.If you are planning an exchange, better not to go for online purchase, else you are at the mercy of the person who comes to collect it.The installation happened over a week after the product delivery and several reminder calls had to be madeMachine now works well.",589,106,4.556603773584905,-0.015909090909090907,0.3136363636363636
satisfied product would not call good product energy efficient star rate energy efficient product would not buy see purchase energy rating mention product description work fine many option board like normal normal soak quick wash automatic water level pick aqua mode machine fill water let machine spin without take tap product got deliver promise serviceinstallation delay two week due lockdown old machine take product delivery leave without option fix washing machine another disappointment buy next day price drop nice,3,"I am just satisfied with this product. But I wouldn't call this is the best product. Its not energy efficient. Its only a 3 star rated energy efficient product. Wouldn't have bought if I had seen it during the purchase itself. Energy rating is not mentioned in the product description. It works fine. Not too many options in the board. Very few like normal and normal + soak, quick wash. Automatic water level picking. There is no aqua mode in this machine, where you can fill water and let the machine spin without taking by itself from the tap. Product got delivered as promised but service/installation was delayed by two weeks due to lockdown. My old machine was taken during the product delivery itself. So, we were left without an option but to fix the washing machine by ourselves. Another disappointment was that after I had bought it, the next day the price was dropped by 5%. Not so nice :)",872,157,4.535031847133758,0.22708333333333333,0.5312500000000001
bring machine month ago face couple issue samsung care executive come home check machine apparently low pressure water create havoci sorted mini pump provide well flow water machinequite satisfied response samsung would recommend tight budgetonly cn,5,"I brought the machine about 10 months ago and I have faced couple of issues but Samsung Care executives came home and checked the machine, apparently it was low pressure of water that was creating havoc.I sorted that out with a mini pump that provides a better flow of water to the machine.Quite satisfied with the response from Samsung. Would recommend to those on tight budget.Only cn",379,66,4.742424242424242,0.10714285714285714,0.5285714285714286
wash mundane task washing machine make easy click load laundry detergent conditioner forget come back exact time laundry soak rinsed spin exactly need since look top load basic machine exactly say instal apartment easy process,5,"Washing is such a mundane task for me. This washing machine makes it easy. Just a few clicks load your laundry and detergent and conditioner and forget about it. Come back after the exact time. Your laundry will be soaked, rinsed and spin. This is exactly what I needed since I was looking for a top load basic machine. It does exactly what they say. I installed it in my apartment by myself and it's an easy process.",407,78,4.230769230769231,0.21666666666666667,0.3564814814814815
lg washing machine time think try samsung samsung machine big disappointment honest first consume hell lot f water unnecessary secondly time management poor real time eg show min leave display panel check min show minsi select lg save rs k pay wish could option return,2,"I had 2 lg washing machine but this time I thought of trying with Samsung. But Samsung machine is a big disappointment to be honest. First it consumes hell lot 9f water unnecessary, secondly time management is poor. It is not real time, eg. it shows 5 mins left in the display panel but checking after 5 mins it will show 4 more mins.I selected this over LG for saving rs. 2k but paying for it now. I wish I could have option to return it now.",427,83,4.108433734939759,-0.043750000000000004,0.44166666666666665
website say compatible peple family really do not work properly add five people clothe towel fill water machine vastlynot water supply problem call cc replace big machine kg capacity say refundable can not buy another product pathetic service samsung amazon ready pay amount capacity deny,1,The website says it's compatible for 5peple family but it is really not. It doesn't work properly when you add all the five people clothes and towels. Not filling water in the machine vastly(not any water supply problem). When I called cc to replace with a bigger machine with 7kg or more capacity. They are saying it's not refundable and you can't buy another product. Pathetic service Samsung and Amazon. I am ready to pay the amount for more capacity but they are denying .,461,84,4.488095238095238,-0.18000000000000002,0.38
though skeptical reading customer feedback go coz previous machine samsung n work fine year n noise iti worried installation rep carry tilting position place near electrical point work well noise level ok n easy use samsung rocksplease fast delivery amazon order apr recd th morning unbelievable true,5,"Though skeptical after reading customer feedbacks, I went for it coz my previous machine was samsung n it worked fine for 14 years n now there is some noise in it.I was worried when d installation rep carried it at a tilting position to place it near d electrical point. But it works well. Noise level is ok n it's easy to use too. Samsung rocks!👍Pleased with d fast delivery by Amazon -ordered on 22 Apr, rec'd 24th morning. Unbelievable but true!",429,80,4.35,0.12037037037037039,0.5722222222222223
physical fitness quality good delivery also good give one star programming cyclerotar rotation time one direction less st wash upper side cloth get minor jerk rotation time upper clothe move nd wash rotor side rotate time less st wash clothe clean detergent remain clothsso complete wash powderdetergent remain clothesalso dryer work perfectlyi totally un happy programming cycle mean buy fully automatic machine,1,"Physical fitness and quality is good, Delivery also Good, But i give one star because of programming cycle,rotar rotation time for one direction is very less in 1st wash so that upper side cloth got only minor jerk (rotation).  some time upper clothes does not move😏, in 2nd wash rotor on side rotate time is less then 1st wash so clothes not clean and detergent remain in cloths😳,so after and complete wash, powder(detergent) remain in clothes.Also dryer not work perfectly.I am totally un happy with this because of its programming cycle, There are no meaning to buy fully automatic machine🙄.",573,100,4.73,0.1642361111111111,0.37197420634920636
washing machine good job perfectlyvery much dissappointe installation serviceafter day also come install contact number provide installation either busy switch respondingat last install help friendsplease do not buy can not install also say install due warrantypurposesnegative star installation service,1,"Washing machine is good, doing the job perfectly.Very much dissappointed with the installation service.After 10 days also, they did not come to install and contact number provided by them for installation is either busy, switch off or not responding.At last i had to install myself with the help of friends.Please don't buy if you can't install by yourself. But also they will say not to install yourself due to warrantypurposes.Negative star for installation services.",455,73,5.232876712328767,0.175,0.30833333333333335
cheap fully automatic machine samsung basic feature heavy wash cycle cycle clothe delicately wash secondly memorize current washing cycle electricity go start electricity,2,This is cheapest fully automatic machine from Samsung. But it does not have a basic feature of heavy wash cycle. So in all cycles the clothes are delicately washed. Secondly it does not memorize the current washing cycle if the electricity goes. You have to start all over again if there is no electricity.,301,54,4.592592592592593,-0.016666666666666663,0.4375
samsung washing machine past use almost year towards end replace pcb part decide exchange particular modeleverythe good except lint particular model reason get catch trap call samsung customer care technician came simply replace filter charging despite warranty luck new partthe piece defective say samsung want replace itreally samsung unexceptable pay much see jobi hope read send replacement,2,"I had a samsung washing machine in the past, used it for almost 10 years towards the end replaced pcb and other parts when I decided to exchange it for this particular model.Everything about is good except that the lint in this particular model for some reason does not get caught in the trap. I called samsung customer care, the technician came and simply replace the filter charging me 400/- despite it being under warranty. No luck with the new part.The piece is defective is all I can say and samsung does not want to replace it.Really samsung this is unexceptable when you pay so much just to see that its not doing its job.I hope they read this and send a replacement.",658,121,4.429752066115703,0.15995670995670994,0.3611935683364255
easy use silent operation wash rinse spin clothe separately well detect water level automatically quickwash energy saving cycle option well use option wash less soiled clothe look great installation do next day delivery buy rs sbi card offer republic day sale,1,"Very easy to use and silent operation. You can wash, rinse and spin clothes separately as well. Detects the water level automatically. Has quickwash and energy saving cycle options as well. You can use these options when washing less soiled clothes. Looks great and the installation was done on very next day of the delivery. I bought it for Rs 12,600 with SBI card offer, during Republic Day Sale.",383,68,4.632352941176471,0.21333333333333337,0.35
water inlet pipe small mtr main wire also small mtrboth replace spend rs extra month use find lint print cloth every washthis rd samsung wm never face problem wid early machine I m happyill buy samsung product,5,1. Water inlet pipe is very small -1 mtr2. Main wire is also very small - 1.5mtrBoth I had to replace  & spend Rs.1200 extra. 3. After 3 months use I find lint prints on cloths after every washThis is my 3rd Samsung w/m I never faced such problems wid 2 earlier machines.  I'm not happy.I'll not buy Samsung products now.,293,54,4.277777777777778,-0.046666666666666676,0.3066666666666667
order machine initially sceptic coz prior review first one deliver time installation person come time find fault machine ask replace per request place replacement order get new one time time machine good condition hats samsung technician polite professional ddnt try sell anything instal machine explain every detail use couple day interesting part less noise level literally stand next machine hear sound extremely satisfied,5,"Ordered this machine but was initially sceptic coz of prior reviews. First one delivered on time and installation person too came on time but found some fault with the machine and asked me to replace it. So as per his request placed replacement order and got new one again on time and this time machine was in good condition. Hats off to Samsung Technician, very polite and very professional. He ddnt try to sell me anything. Installed the machine and explained each and every detail about it. Been using it for couple of days now and most interesting part to me is very very less noise levels. You literally have to stand next to the machine to hear sound. Extremely satisfied!!",668,121,4.528925619834711,0.21997245179063363,0.3140495867768595
medium could load easy use look great noisy shaky place flat surface bit doubtful reading review I m glad go gut feeling clothe come clean fresh guy come demo helpful thank make life easy,3,"The media could not be loaded.
                



 Very easy to use and looks great. It's not noisy or shaky if you place it in a flat surface. I was a bit doubtful after reading the reviews but I'm glad I went with my gut feeling. Clothes come out clean and fresh and the guy who had come for the demo was very helpful. Thanks for making life easy🙂🙏",336,67,3.8059701492537314,0.18611111111111112,0.6824074074074074
