Reviews,Ratings
"This top-loading washing machine is really easy to use. I bought it for my mother, who is used to a semi-automatic WM. I found that she is able to adapt and use it with ease.  It takes a little more water compared to front-loading machines, but almost the same or maybe less than semi-automatic WM.The overall washing perfomance is great.I ordered the machine at 4PM, it got delivered the next morning at 8AM, at Durgapur (WB), I booked the free installation by calling the Samsung customer care. The engineer visited at 11AM, same day, and the machine was ready to use soon. I purchased a stand to keep the machine. I am really happy with the extremely prompt service of Amazon and Samsung customer support.This is a great machine, blindly go for it.",5
We got this in the month of May '2021 initially I was skeptical about it but it is really nice the monsoon option is a.feature which really helps the clothes get almost dried which very helpful they had this facility extendedable pipe for atleast 10cm which was great as we could deattach and reattach whenevr it is necessary. Service installation as well is good he offered us a cover and a really good stand it was little costly but the stand was worth which is movable and adjustable. He gave the machine cleaner as well to clean the entire machine and keep it in good condition. When u compare with front load this doesn't give my much sound which is really good. Over Al it was an affordable and more options washing machine.,5
"I installed the machine myself from start to finish , the engineer came,  gave a 50 second demo and when I asked him to go slow and explain one  of the functions I was charged for installation lol ludicrous service at its best 😂 Never buying anything from samsung again.",1
"My old washing Machine was Samsung too which still works fine despite more than 12 years of usage. This one is Value for Money. Easy to operate, nothing much has changed in the operations or interface in several years!One thing I notice is that it appears that there’s no way to clear the previous memory, just in case. All you need to do is hit Cycle button and previous options are cleared, if they are still present despite you pressed Power Button previously. This point comes up only has a habit from my previous model usage, which would clear the memory after pressing Power Button.Monsoon 15 or 30 mIn spin cycle options is still present and useful, though not that great. Nothing exceptional, but Value for money and suitable for small family on relatively tight budget.",4
"First product received was damaged had easily recognisable dent on the front side, while the box looked absolutely fine, the second replacement product received had a minor dent again on front side not visible by naked eyes until you see from side angle and scratch on left side at the bottom. I gifted this machine to my mother, but now we tired of having it replaced again and again, it is good to buy electronic items from Croma, we have had amazing experience till now. We would think more than 100 times now before ordering from Amazon atleast big electronic appliances. I really don't know who to reach out whether Amazon, Retailer / Dealer or Samsung?",2
"The media could not be loaded.
                



 It's not working.. I'm trying to return the product options are not available..",2
"Dear Team,Needs your support here, as discussed earlier i spoke with Samsung team and there executive visited 5 times but no resolution so far. so please now replace my washing machine from your end. because samsung team has took approx one and half month for replying back. and they  denying to replace this product. an provide your correct communication details.",1
"Product is decent for the price. But that's not alone what determines the quality. After a week since delivery, they didn't send anyone for installation and I had to do it myself. After making numerous calls and complaint requests, I was assured multiple times an engineer would come but never came. I've always been wary of Samsung products but this was the last straw. From now on I will try to avoid buying any Samsung product unless there's no better alternative. I will keep a 3 star for now until I see prolonged usage of this product. I absolutely don't recommend buying Samsung.",1
Perfectly working..,3
I am writing this review after a week or so of usage. some pros and consSamsung is a great brand and has been improving all the timeSuper quick delivery and installation ( just had to remind Cust Care to get it done !)Ease of Use and similar to the old Samsung 6.2 kgsQuick wash and uses lesser water than the older Samsung 6.2 KgsExchange offer of Rs 1800 ! through Amazon / dealer provides only Rs 500 ! Exchange offerAwesome product for the money paid !!!ConsSamsung 6.2 kgs bought about 10 years back is bigger than the present 6.5 kgs !Slightly shakes when the clothes are less which i believe is normal for any washing MachineHence the rating of 4 star !,5
I bought this model and found that there is serious bug which the manufacturer needs to look into and have to fix. This machine will not drain the last used water for rinse if you select the function Wash+Rinse or Rinse only. The water used for the last rinse will remain in the tub and it cannot be drained. For to whom the mentioned is not clear I will explain my experience. I turned on the machine and manually selected Wash and Rinse function and skipped Spin because I preferred to get the clothes dried on direct sunlight. The cycle selected in Soak+Normal. The machine started washing then moved to the next stage which is rinsing. The whole process got completed in an hour and machine automatically turned off but the water used for last rinse still remains in the tub. There is no way to drain the last used water. In short if you do not opt for Spin function then the last intake water will remain in the wash tub even after completion of whole process. Is there any fix for this?,1
"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:15Loaded: 0.00%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:15 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


 Started making noise from the 11th day of delivery.. Called Installation person, No response... Called Customer care, heard only flute music for 45 minutes.. Logged 2 tickets, Samsung closing the tickets automatically saying, check for coins in pockets of dresses which is washing inside the machine... Worst Customer Service.. If you really want to get yourself busy with samsung customer care, buy this product..",1
Delivery persons were too CARELESS and in hurry. They firstly fell shoe racks and scattered all shoes at outside of my gate. They treat my old machine(which was exchanged) mercilessly with fearful noise also scattering water to my floor by not giving sufficient time to extract the water from outlet pipe and felling outlet hose.  After their return I have a lot of mess to clean. Putting all the shoes/mopping a large floor area etc.,4
"This is the most pathetic website, never buy any appliances from this website, they don;t even contact to brand neither they will schedule your appointment for installation. Better to buy product from local dealer for same day installations. This pathetic website even after 1 month they will not install the product.",1
"The exchange did not work as it was stated. Policy said washing machine should be in working condition. But upon delivery of new product they refused to accept old product saying it was making noise. Felt cheated, but it was too late. Had difficulty in accommodating 2 machines at home until the time I got someone else to take it away.If you are planning an exchange, better not to go for online purchase, else you are at the mercy of the person who comes to collect it.The installation happened over a week after the product delivery and several reminder calls had to be madeMachine now works well.",1
"I am just satisfied with this product. But I wouldn't call this is the best product. Its not energy efficient. Its only a 3 star rated energy efficient product. Wouldn't have bought if I had seen it during the purchase itself. Energy rating is not mentioned in the product description. It works fine. Not too many options in the board. Very few like normal and normal + soak, quick wash. Automatic water level picking. There is no aqua mode in this machine, where you can fill water and let the machine spin without taking by itself from the tap. Product got delivered as promised but service/installation was delayed by two weeks due to lockdown. My old machine was taken during the product delivery itself. So, we were left without an option but to fix the washing machine by ourselves. Another disappointment was that after I had bought it, the next day the price was dropped by 5%. Not so nice :)",3
"I brought the machine about 10 months ago and I have faced couple of issues but Samsung Care executives came home and checked the machine, apparently it was low pressure of water that was creating havoc.I sorted that out with a mini pump that provides a better flow of water to the machine.Quite satisfied with the response from Samsung. Would recommend to those on tight budget.Only cn",5
"Washing is such a mundane task for me. This washing machine makes it easy. Just a few clicks load your laundry and detergent and conditioner and forget about it. Come back after the exact time. Your laundry will be soaked, rinsed and spin. This is exactly what I needed since I was looking for a top load basic machine. It does exactly what they say. I installed it in my apartment by myself and it's an easy process.",5
"I had 2 lg washing machine but this time I thought of trying with Samsung. But Samsung machine is a big disappointment to be honest. First it consumes hell lot 9f water unnecessary, secondly time management is poor. It is not real time, eg. it shows 5 mins left in the display panel but checking after 5 mins it will show 4 more mins.I selected this over LG for saving rs. 2k but paying for it now. I wish I could have option to return it now.",2
The website says it's compatible for 5peple family but it is really not. It doesn't work properly when you add all the five people clothes and towels. Not filling water in the machine vastly(not any water supply problem). When I called cc to replace with a bigger machine with 7kg or more capacity. They are saying it's not refundable and you can't buy another product. Pathetic service Samsung and Amazon. I am ready to pay the amount for more capacity but they are denying .,1
"Though skeptical after reading customer feedbacks, I went for it coz my previous machine was samsung n it worked fine for 14 years n now there is some noise in it.I was worried when d installation rep carried it at a tilting position to place it near d electrical point. But it works well. Noise level is ok n it's easy to use too. Samsung rocks!👍Pleased with d fast delivery by Amazon -ordered on 22 Apr, rec'd 24th morning. Unbelievable but true!",5
"Physical fitness and quality is good, Delivery also Good, But i give one star because of programming cycle,rotar rotation time for one direction is very less in 1st wash so that upper side cloth got only minor jerk (rotation).  some time upper clothes does not move😏, in 2nd wash rotor on side rotate time is less then 1st wash so clothes not clean and detergent remain in cloths😳,so after and complete wash, powder(detergent) remain in clothes.Also dryer not work perfectly.I am totally un happy with this because of its programming cycle, There are no meaning to buy fully automatic machine🙄.",1
"Washing machine is good, doing the job perfectly.Very much dissappointed with the installation service.After 10 days also, they did not come to install and contact number provided by them for installation is either busy, switch off or not responding.At last i had to install myself with the help of friends.Please don't buy if you can't install by yourself. But also they will say not to install yourself due to warrantypurposes.Negative star for installation services.",1
This is cheapest fully automatic machine from Samsung. But it does not have a basic feature of heavy wash cycle. So in all cycles the clothes are delicately washed. Secondly it does not memorize the current washing cycle if the electricity goes. You have to start all over again if there is no electricity.,2
"I had a samsung washing machine in the past, used it for almost 10 years towards the end replaced pcb and other parts when I decided to exchange it for this particular model.Everything about is good except that the lint in this particular model for some reason does not get caught in the trap. I called samsung customer care, the technician came and simply replace the filter charging me 400/- despite it being under warranty. No luck with the new part.The piece is defective is all I can say and samsung does not want to replace it.Really samsung this is unexceptable when you pay so much just to see that its not doing its job.I hope they read this and send a replacement.",2
"Very easy to use and silent operation. You can wash, rinse and spin clothes separately as well. Detects the water level automatically. Has quickwash and energy saving cycle options as well. You can use these options when washing less soiled clothes. Looks great and the installation was done on very next day of the delivery. I bought it for Rs 12,600 with SBI card offer, during Republic Day Sale.",1
1. Water inlet pipe is very small -1 mtr2. Main wire is also very small - 1.5mtrBoth I had to replace  & spend Rs.1200 extra. 3. After 3 months use I find lint prints on cloths after every washThis is my 3rd Samsung w/m I never faced such problems wid 2 earlier machines.  I'm not happy.I'll not buy Samsung products now.,5
"Ordered this machine but was initially sceptic coz of prior reviews. First one delivered on time and installation person too came on time but found some fault with the machine and asked me to replace it. So as per his request placed replacement order and got new one again on time and this time machine was in good condition. Hats off to Samsung Technician, very polite and very professional. He ddnt try to sell me anything. Installed the machine and explained each and every detail about it. Been using it for couple of days now and most interesting part to me is very very less noise levels. You literally have to stand next to the machine to hear sound. Extremely satisfied!!",5
"The media could not be loaded.
                



 Very easy to use and looks great. It's not noisy or shaky if you place it in a flat surface. I was a bit doubtful after reading the reviews but I'm glad I went with my gut feeling. Clothes come out clean and fresh and the guy who had come for the demo was very helpful. Thanks for making life easy🙂🙏",3
"This model of Samsung washing machine is a great product for families up to 4-6 people. It's very affordable, and the size is compact. The options are just enough for us to handle anything and everything we can imagine. The monsoon function is exceptionally useful and dried clothes very well. Clothes DO NOT entangle which is great too. Just start and forget. We are yet to use the delay feature, but it's a great option too. Delicate mode makes life easier.Overall , it's a great product, backed by Samsung's service. We are very happy with it.",5
"Very good product. Easy to use fully automatic. Noise level not that high, you need to adjust its base so that its in level and will not vibrate much. Little bit expensive. Also drain hole is in lowest side of machine and without any pumping motor. So you need to keep drain pipe lower than that. Overall its good purchase and value for money.",4
"WM is good, not best. Samsung is definitely good brand. Machine quality is great. The sides are stainless steel but are thin sheets.It’s a little complicated in beginning to understand. But then it’s very simple. Looks are very beautiful.Not good partsThe machine drum spins less. It doesn’t spins for a whole round or two and changes direction. It feels like it’s week but it is not. But I think if it spins full it will be more powerful and effective.Good buy and should go for it",4
"We had a BPL washing machine for more than 20 years from the early 2000s! And I wanted to gift my parents a washing machine with my own money before shifting out of their house. I ordered and got it installed, the machine works very well and the drying ability is great. Thinner fabrics like bedsheets or tshirts get dried so well it's ready to use almost immediately after coming out of the machine. The other clothes might require just an hour of drying outside.",5
The machine makes noise while spinning .it's brand new and purchased on 30 April 2021.customer support is not responding and no support received until. please think before you make a choice.It has been more than 3 months no resolution please do not pick this model,1
First automatic washing machine in home. Quite easy to operate. As per user it consume bit more water as compare to semiautomatic.Used only one time currently.Overall nice experience while use.Will share experience after sometime of usage .,4
"Worst experience, received the product with broken suspension rod just shoved in the drum by seller. Spent 750 INR just to get it repaired instead of returning since it was meant as a Diwali gift and didnt wanted to spend so much time in process",1
Pathetic service.Received a damaged product and there is so much delay in returning the product.Installation engineer has certfied that product is defective even then Amazon is not accepting and making another technician visit after one week's time.Customer is trapped,1
"Honest review after couple of full cycle wash.The washing machine is definately a value for money with trust of samsung after sales network. There is no issue with the delivery and it was hassle free installation within a day of delivery.There is no big noise whenever you machine operates. Some chim sound to notify you that buttons are being pressed, on/off and once it completes whole cycle it did the chim sound again. Overall nice operation and good amount of washing.The machine dont have soft closing lid feature, and samsung guy told me that this particular machine didn't come with 10 years motor warranty. The 10 years warranty is for wobble technology one.But yes, 2 years warranty for the machine is there which will get enabled automatically after the delivery.Most importantly this machine dont have return facility but one can replace it with same machine again if there are some technical or physical flaws.",1
"I am giving three star because1.Energy star rating is three2.memory backup is not available for power outage.3.Inlet pipe provide with machine is very small only one metre, it must be at least two meter.4. Packing was damaged before delivery.All other things are ok you can go for it if energy cost is not an essue for you.",3
I have alreday used Whirpool Top Load Machine since 2018.But this machine is truly amazing.Wash clothes like pro with no hassle.Programs are very easy to use and system is cool.Most importantly it's used very less water and electricity.Just loved this.I recommend to my sister and she bought and after using 7 days she also loved this.Thank you Samsung and Amazon bring this machine with a worthy deal.,3
When we buy from a brand like samsung the expectation is superior customer care. The reality is they treat customer like trash. Installation not done after 3 days. Agent closed ticket stating I am not available at home while I was there 24x7. Calls to customer care take forever to connect. What app and live chat don't work.,1
"The mchine works fine. but Cleaning at times is not good enough inspite of proper soap and conditioner. We may need to run the load twice in a while inspite of cleaning the Filters. Got it a great price, so I guess, it's a compromise. Not recommended if you have issues with Water shortage, or timings for water release.",3
"This is just an economic product, so many options but not a justified distinguished support, all auto support but not much on use. And loads of water is waster and electricity... Only cool thing is - keep clothers detergent and full support of water will return washed and semi soaked clothers after 50 minutes.",3
"This is the 3rd washing machine of this brand (Samsung) and model (WA65A4002VS/TL) that I have purchased. The machine is noiseless, easy-to-use and one of the bestsellers on all major online marketplaces. Samsung installation service is excellent, but please make sure the tap you're planning to connect to this machine has sufficient water pressure (and fix it beforehand, if not). It has 5 wash modes, but the 'Quick Wash' and 'Soak + Normal' modes are the ones you're most likely to use for day-to-day laundry. Highly recommended.",5
"Hello ,I have been using this washing machine for around 3 months now.Pros:1. Clothes get cleaned satisfactorily2. Almost noiseless3. Very efficient and fast4. Looks cute5. All the essential functions are there including the powerful Monsoon dry function.Cons:1. None so farIf you are looking for a budget washing machine for 2-3 people, go blindly for it. There aren't many awesome machines at this range.Until next timeRupam",5
"This is a tried and tested washing machine that we have been using. Had the same machine at my home town as well.For people who are looking for a washing machine and are confused, this is the best option that you can go for. The pricing is very economical and the functionioning is very good.Quiet easy to use and operate.Noise levels are very minimal and is a Value for money product.This is 6.5kgs and is sufficient for a family of 3-4 people.The demo guy came on time the next day.Would definitely recommend this product to everyone whoz confused on which washing machine to buy.Energy consumption: 5/5Looks: 5/5Functions: 5/5Noise level: 4/5Washing: 5/5",5
"Don't go for this product. The price looks alluring but its body is fragile like a flower petal. My second replacement too was in a badly damaged state. Dents all around, unstable body .. it was tilting to one side. Foot rest was broken. The first delivery was literally dumped, two boys just dropped it. Carried the product horizontally and not vertically. The worst part is the delivery service by Ms Aruna  Warehousing Company. I hav seen the delivery boys in action. They never follow the doorstep delivery protocol. On the second time, the machine was carried like a sack by a delivery boy.",5
It doesn't work.suspension rod is displaced. Even the Samsung guy who came for installation couldn't install the machine. Still waiting for replacement related communication from Amazon team.,1
"After 2 week of usage my honest review-One must remember that it has no memory, that means if power goes off then it will not be continuing from the same moment where it was obstructed. Although it will restart in that particular stage from beginnings.Rat mesh quality is poor. It was already cracked when i opened the tub. It is very thin. Drainage pipe is very short. Although you can extend it by installing another pipe from market.Delivery was on time. Product was Nicely packed.Machine is durable and washing is up to the mark. It is gentle on clothes, It also has a delicate mode which washes soft clothes perfectly.Overall I am satisfied with this product at this price range.On can go for this for a family of 4-5.",1
"You cant reach out to samsung or amazon for the installation etc. There is no option for that. I tried amazon support but no option is available for installation support.Only they will contact you when they feel like.You can't reach out to them.Its been 15 days and the installation is not done by their team nor the warranty related stamping.I bought this cause I was in hurry and now i regret. I have installed it by a plumber who has charged INR 1,500/-. Had i known about it i would have hired him before or ordered it from Croma.Dont by Samsung product from amazon.And please add some contact number or support person for installation followups.ThanxPlease add",1
Very good machine. Purchased it during the Republic Day sale and got a steal deal by exchanging my semi automatic 6.5 kg LG washing machine and got 2440/- exchange value. The machine is really easy to use simple and at the same time effective. The best machine in this price range.,5
"Value for money.Used it for almost 2.5 months now.It had been a good experience.This has all those hidden features which you come across a 15k below machine.Only thing is they have forgotten to highlight some features. ;)Ordered for a normal machine and got a 3* rated machine. Thanks amazon and Samsung.Main pros are -No much difference in E Bill.Noise levels are lowInstallation process was hassle free. ( we live in Hyderabad though.)Really helpful for a working and non working class people.Overall, decent product at decent price.Expect less and you get more🎉",5
"Order this product in a slight Hesitation but was amazed by its performance at a very reasonable price. I am writing this review after 2weeks of usage, its Simply superb.",5
As soon as we start the washing machine it starts spinning a few times without water. Then the water starts flowing into the washing machine. Sometimes the time shows 47 mins and sometimes it shows 40 mins.,1
"Like :Easy to Use: just put the cloth inside the machine and press sart button.Less Water Consumption : in-built feature of loading water automatically as per the clothes, the washing machine decides an adequate amount of water required for the wash.Size : compair to semi automatic machine it's take less space.Effective Cleaning : not required Scrub the clothes before putting into the washing machine.Dislike :Alert / buzzer : buzzer sound is lowElectricity Consumption : it take more electricity compare to semi automatic machine, a single run take 45 min.",5
"I bought this Samsung washing machine 6.5 kg which was delivered to us within 5 days and installation was done very next day. So didn't find any difficulties or hassle here.Now it's been more than 10 days i am using it, I really don't find any problem which people has mention in previous review for this product. I also saw many comments for noise level, trust me guyz it's not noisy at all. Washing quality is very good.Over all I am satisfied with product and definitely recommend to everyone in this budget. Don't see any other comment and don't get confuse guyz, ""just go for it"".Thank you Amazon and thank you Samsung for your services. I am happy to become your customer.",5
Recieved two time’s damaged product ..not sure what safety measures will take while trapsortation.. cloudtail seller is selling all damaged products to costumers ..But amazon and samsung  also responsible for this..and motor warranty 10 years mentioned but they have given only for four years ..for machine it’s 2 years..nothing is good with this product go for other one all fake data..and move to flipkart,5
"Very Very Very bad service from Samsung & Amazon together they making customer suffer during service need, After 03 days of service request no response from Samsung & the seller Amazon asking today another 03 days.Request new purchaser please use flipkart /tata cl/Reliance digital or local store.",1
We exchanged a older LG to this one. Works well. No complaints after 2 weeks. Simple to operate so older folks can use - not too many buttons. Got it for a great deal from amazon with exchange. Unbelievable value for money. Delivery from Amazon was without hassle and damage free.,1
"Dents on the body, was really in need of it so didn't applied for replacement, working well, but wash quality is bad really bad,  normal mode, quick wash mode, and delicate mode, in every mode, tube turbine just slightly rotates the clothes, semi automatic machines washes clothes better than this turbine...",1
"Video Player is loading.Play VideoPlayMuteCurrent Time 0:00/Duration 0:14Loaded: 21.45%0:00Stream Type LIVESeek to live, currently behind liveLIVERemaining Time -0:14 1xPlayback RateChaptersChaptersDescriptionsdescriptions off, selectedCaptionsCaptions off, selectedAudio Trackdefault, selectedFullscreenThis is a modal window.


 Edited my review after good after sales assistance from samsung. Good working washing machine at an attractive price. Only negative side is the noise and absence of hard wash/jeans mode. Had ordered it for home while I was away. Reuturned to find out this! Called samsung care they are not much of use.Makes a lot of noise. Rather simpler modes and no jeans/hard wash mode.Overall, go for it if this is your first fully automatic washing machine.",4
Never purchase samsung products because of their poor repair and installation service. Returned product for not installing it and raised many complaints but no one came for installationSo. Stay away from samsung products,1
Worst samsung instalation service..They refused to install if no stand is purchsed from them... They compelled me to pay rs.1200 for the stand despite having my own stand. They failed to install inlet pipe properly. I have to do it on my own..,3
"Even though so many negative reviews I choose to buy this, which I regret now, the product is too noisy and makes too much noise as compared to my previous one even though this one is lot costlier, not even one month while the drum rotates at maximum speed or while it spins in anti clock wise it makes some weird noise, choose another product and save your money than buy this junk",1
Everything is good. But the washing machine doesn't have the option to increase the time. And doesn't have the option to use Strong wash. So the washing is normal is not very strong. The machine should give strong wash option as well so that if someone wants they can do the strong wash sometime as well.,4
"I'm going to keep this review short and simple. So we bought this washing machine around 1 month back and have had no problems so far, this thing takes workload like a beast and gets the job done in a jiffy. Kudos to amazon and the seller for delivering this in perfect condition!",4
"-at 14K, it appears cheap but not good at all-functions are easy, also not noisy-washing not good at all, my whites got ruined.-using 2 top load full automatic LGs at home, better go for that or if not on budget then go for front load",5
This product gets repairs frequently. You will get fed-up calling the customer care and technicians to fix the issues and they will not be fixed as the product itself is defective. Coming to the washing it does not clear the hard stains on clothes . It only washes smooth stains. If your clothes have more dirt or thick stains it will not clear the hard stains like whirlpool which I already have. Please do not buy and cry later,2
This is what your clothes will be after washing in this machine. Have been after Samsung however no resolution given and they say there is no issue with machine. Please never buy this product its total waste of money.,1
"Easy to use washing machine and the Samsung technician is very good, supportive and knowledgeable.However, the outer body is slightly damaged and the main root cause is the packaging from Samsung. Saving few bucks on appliance packaging is not only damaging the product but also the brand image of Samsung.",1
"please don't buy this product...wast of your money. they given fully automatic..but have bug is there. what i notice one when power cut, it wont start same progress. second during water taking noticed sound and vibration. finally water level changes during washing time not taken",1
Product was damaged and broked in the back even there was dent in the back side of machine. I was waited to get this product but finally resulted in to dissatisfaction. Refundin or replacing does not make situation good where customer have some thoughts attached to product and also manage there budget when they buy such products. This is worst Experience have been suffered. There is no compensation policy Amazon have when such things happen.👎,1
"The visiting service from samsung is very poor. Especially in Maharashtra region. To have a demo and installation, it was very difficulty task. This leads to a very huge setback to samsung company as we common people depend upon a relaiable and fast service from authorised service engineer, instead of local technician. In our region, particularly in पश्चिम महारष्ट्र western Maharashtra it is usually told that samsung service is not good you should buy goods from some other company. It should be stopped. And the dealership should be changed to someone else, atleast of Sangli and Kolhapur.",4
Previously i hv semi automatic washing machine it was so time consuming and very hard for use because all the time one need be there to wash and rinse and spin the clothes...but now it's very easy for me just to put dirty clothes and after few minutes your clothes r clean no need stay nad watch all the time this machine have very easy use functions as well as energy saving and perfect working woman...,5
Looking exchange offer for my old semi automatic washing machine &  I got this samsung fully automatic washing machine as a exchange offer.....superb & fast service customer care service also good ... overall overall good product....must buying 👍🏻👍🏻,5
